Running imagenet_impl.py
********HW03 06: ImageNet Classification********
Begin our training!!!!!!!!!!!!!!
cuda available: True
Using device: cuda:7
Loading dataset!!!!!!!!
Original dataset size:
Training samples: 1281167
Validation samples: 50000
Number of classes: 1000
Selected dataset size:
Training samples: 6405
Validation samples: 100
Applying dataset transforms!!!!!!!!
Creating data loaders!!!!!!!!
Initializing ImageNetCNN!!!!!!!!
Trainable parameters: 5464040
Setting optimizer!!!!!!!!
Initializing trainer!!!!!!!!
Start training!!!!!!!!
Epoch 30, Batch 20/51, Loss: 5.2043, Training Accuracy: 0.0547
Epoch 30, Batch 30/51, Loss: 5.1324, Training Accuracy: 0.0781
Epoch 30, Batch 40/51, Loss: 5.3201, Training Accuracy: 0.0547
Epoch 30, Batch 50/51, Loss: 4.7339, Training Accuracy: 0.0000
Epoch 30/1000, Train Loss: 5.1700, Train Accuracy: 0.0539, Validation Accuracy: 0.0000
Epoch 31, Batch 0/51, Loss: 4.8947, Training Accuracy: 0.0938
Epoch 31, Batch 10/51, Loss: 5.0175, Training Accuracy: 0.0781
Epoch 31, Batch 20/51, Loss: 5.0861, Training Accuracy: 0.0547
Epoch 31, Batch 30/51, Loss: 5.0371, Training Accuracy: 0.0547
Epoch 31, Batch 40/51, Loss: 5.2775, Training Accuracy: 0.0234
Epoch 31, Batch 50/51, Loss: 5.9600, Training Accuracy: 0.0000
Epoch 31/1000, Train Loss: 4.9346, Train Accuracy: 0.0763, Validation Accuracy: 0.0000
Epoch 32, Batch 0/51, Loss: 4.8163, Training Accuracy: 0.0625
Epoch 32, Batch 10/51, Loss: 4.7061, Training Accuracy: 0.0938
Epoch 32, Batch 20/51, Loss: 5.1099, Training Accuracy: 0.0703
Epoch 32, Batch 30/51, Loss: 4.8878, Training Accuracy: 0.0469
Epoch 32, Batch 40/51, Loss: 4.7523, Training Accuracy: 0.0938
Epoch 32, Batch 50/51, Loss: 6.2248, Training Accuracy: 0.0000
Epoch 32/1000, Train Loss: 4.8967, Train Accuracy: 0.0806, Validation Accuracy: 0.0000
Epoch 33, Batch 0/51, Loss: 4.7785, Training Accuracy: 0.1250
Epoch 33, Batch 10/51, Loss: 4.9651, Training Accuracy: 0.0547
Epoch 33, Batch 20/51, Loss: 4.9480, Training Accuracy: 0.0703
Epoch 33, Batch 30/51, Loss: 4.8536, Training Accuracy: 0.0781
Epoch 33, Batch 40/51, Loss: 4.8524, Training Accuracy: 0.0703
Epoch 33, Batch 50/51, Loss: 6.0509, Training Accuracy: 0.0000
Epoch 33/1000, Train Loss: 4.8756, Train Accuracy: 0.0768, Validation Accuracy: 0.0000
Epoch 34, Batch 0/51, Loss: 4.6969, Training Accuracy: 0.0781
Epoch 34, Batch 10/51, Loss: 4.7646, Training Accuracy: 0.1328
Epoch 34, Batch 20/51, Loss: 4.8436, Training Accuracy: 0.0781
Epoch 34, Batch 30/51, Loss: 4.9760, Training Accuracy: 0.1094
Epoch 34, Batch 40/51, Loss: 5.0026, Training Accuracy: 0.0469
Epoch 34, Batch 50/51, Loss: 6.1675, Training Accuracy: 0.2000
Epoch 34/1000, Train Loss: 4.8637, Train Accuracy: 0.0867, Validation Accuracy: 0.0000
Epoch 35, Batch 0/51, Loss: 4.9231, Training Accuracy: 0.0703
Epoch 35, Batch 10/51, Loss: 4.8404, Training Accuracy: 0.0859
Epoch 35, Batch 20/51, Loss: 4.9084, Training Accuracy: 0.0391
Epoch 35, Batch 30/51, Loss: 4.8003, Training Accuracy: 0.1016
Epoch 35, Batch 40/51, Loss: 4.8062, Training Accuracy: 0.1094
Epoch 35, Batch 50/51, Loss: 4.4383, Training Accuracy: 0.0000
Epoch 35/1000, Train Loss: 4.8530, Train Accuracy: 0.0826, Validation Accuracy: 0.0000
Epoch 36, Batch 0/51, Loss: 4.8198, Training Accuracy: 0.1094
Epoch 36, Batch 10/51, Loss: 4.7466, Training Accuracy: 0.1328
Epoch 36, Batch 20/51, Loss: 4.9660, Training Accuracy: 0.0469
Epoch 36, Batch 30/51, Loss: 4.9127, Training Accuracy: 0.0469
Epoch 36, Batch 40/51, Loss: 4.9034, Training Accuracy: 0.0625
Epoch 36, Batch 50/51, Loss: 5.5319, Training Accuracy: 0.2000
Epoch 36/1000, Train Loss: 4.8535, Train Accuracy: 0.0827, Validation Accuracy: 0.0000
Epoch 37, Batch 0/51, Loss: 4.6758, Training Accuracy: 0.1016
Epoch 37, Batch 10/51, Loss: 5.0119, Training Accuracy: 0.0781
Epoch 37, Batch 20/51, Loss: 4.9952, Training Accuracy: 0.0469
Epoch 37, Batch 30/51, Loss: 4.8132, Training Accuracy: 0.0938
Epoch 37, Batch 40/51, Loss: 4.7838, Training Accuracy: 0.0938
Epoch 37, Batch 50/51, Loss: 6.5747, Training Accuracy: 0.0000
Epoch 37/1000, Train Loss: 4.8315, Train Accuracy: 0.0838, Validation Accuracy: 0.0000
Epoch 38, Batch 0/51, Loss: 4.7190, Training Accuracy: 0.0547
Epoch 38, Batch 10/51, Loss: 4.6900, Training Accuracy: 0.0938
Epoch 38, Batch 20/51, Loss: 4.7707, Training Accuracy: 0.0781
Epoch 38, Batch 30/51, Loss: 4.6644, Training Accuracy: 0.1328
Epoch 38, Batch 40/51, Loss: 4.8878, Training Accuracy: 0.0625
Epoch 38, Batch 50/51, Loss: 6.2949, Training Accuracy: 0.0000
Epoch 38/1000, Train Loss: 4.8143, Train Accuracy: 0.0848, Validation Accuracy: 0.0000
Epoch 39, Batch 0/51, Loss: 4.7655, Training Accuracy: 0.0938
Epoch 39, Batch 10/51, Loss: 4.7262, Training Accuracy: 0.1094
Epoch 39, Batch 20/51, Loss: 4.5882, Training Accuracy: 0.1016
Epoch 39, Batch 30/51, Loss: 4.9027, Training Accuracy: 0.0781
Epoch 39, Batch 40/51, Loss: 4.7191, Training Accuracy: 0.0938
Epoch 39, Batch 50/51, Loss: 5.3833, Training Accuracy: 0.2000
Epoch 39/1000, Train Loss: 4.7976, Train Accuracy: 0.0909, Validation Accuracy: 0.0000
Epoch 40, Batch 0/51, Loss: 4.4999, Training Accuracy: 0.1875
Epoch 40, Batch 10/51, Loss: 4.8022, Training Accuracy: 0.0859
Epoch 40, Batch 20/51, Loss: 4.5769, Training Accuracy: 0.1484
Epoch 40, Batch 30/51, Loss: 4.7042, Training Accuracy: 0.1172
Epoch 40, Batch 40/51, Loss: 4.8094, Training Accuracy: 0.1094
Epoch 40, Batch 50/51, Loss: 5.4914, Training Accuracy: 0.2000
Epoch 40/1000, Train Loss: 4.7789, Train Accuracy: 0.0957, Validation Accuracy: 0.0000
Epoch 41, Batch 0/51, Loss: 4.9583, Training Accuracy: 0.0469
Epoch 41, Batch 10/51, Loss: 4.6906, Training Accuracy: 0.0703
Epoch 41, Batch 20/51, Loss: 4.6959, Training Accuracy: 0.0859
Epoch 41, Batch 30/51, Loss: 4.9705, Training Accuracy: 0.0938
Epoch 41, Batch 40/51, Loss: 4.8466, Training Accuracy: 0.0859
Epoch 41, Batch 50/51, Loss: 6.5411, Training Accuracy: 0.0000
Epoch 41/1000, Train Loss: 4.7791, Train Accuracy: 0.0910, Validation Accuracy: 0.0100
Epoch 42, Batch 0/51, Loss: 4.6519, Training Accuracy: 0.1172
Epoch 42, Batch 10/51, Loss: 4.5803, Training Accuracy: 0.0859
Epoch 42, Batch 20/51, Loss: 4.6489, Training Accuracy: 0.1094
Epoch 42, Batch 30/51, Loss: 4.7385, Training Accuracy: 0.1406
Epoch 42, Batch 40/51, Loss: 4.8380, Training Accuracy: 0.0781
Epoch 42, Batch 50/51, Loss: 5.2505, Training Accuracy: 0.2000
Epoch 42/1000, Train Loss: 4.7748, Train Accuracy: 0.0945, Validation Accuracy: 0.0000
Epoch 43, Batch 0/51, Loss: 4.7610, Training Accuracy: 0.0469
Epoch 43, Batch 10/51, Loss: 5.0782, Training Accuracy: 0.0391
Epoch 43, Batch 20/51, Loss: 4.6557, Training Accuracy: 0.1250
Epoch 43, Batch 30/51, Loss: 4.7234, Training Accuracy: 0.0938
Epoch 43, Batch 40/51, Loss: 4.6869, Training Accuracy: 0.0703
Epoch 43, Batch 50/51, Loss: 6.2082, Training Accuracy: 0.0000
Epoch 43/1000, Train Loss: 4.7804, Train Accuracy: 0.0862, Validation Accuracy: 0.0000
Epoch 44, Batch 0/51, Loss: 4.6013, Training Accuracy: 0.1406
Epoch 44, Batch 10/51, Loss: 4.9246, Training Accuracy: 0.1016
Epoch 44, Batch 20/51, Loss: 4.8113, Training Accuracy: 0.1016
Epoch 44, Batch 30/51, Loss: 4.8761, Training Accuracy: 0.0859
Epoch 44, Batch 40/51, Loss: 4.6500, Training Accuracy: 0.1016
